"nutrient_id"	"amount"	"fdc_id"	"name"	"unit_name"	"NDB_number"	"Food_Name"
1180	65	167744	"Choline, total"	"MG"	90560	"Mollusks, snail, raw†"
1087	10	167744	"Calcium, Ca"	"MG"	90560	"Mollusks, snail, raw†"
1092	382	167744	"Potassium, K"	"MG"	90560	"Mollusks, snail, raw†"
1095	1	167744	"Zinc, Zn"	"MG"	90560	"Mollusks, snail, raw†"
1004	1.4	167744	"Total lipid (fat)"	"G"	90560	"Mollusks, snail, raw†"
1005	2	167744	"Carbohydrate, by difference"	"G"	90560	"Mollusks, snail, raw†"
1008	90	167744	"Energy"	"KCAL"	90560	"Mollusks, snail, raw†"
1051	79.2	167744	"Water"	"G"	90560	"Mollusks, snail, raw†"
1259	0	167744	"SFA 4:0"	"G"	90560	"Mollusks, snail, raw†"
1260	0	167744	"SFA 6:0"	"G"	90560	"Mollusks, snail, raw†"
1262	0	167744	"SFA 10:0"	"G"	90560	"Mollusks, snail, raw†"
1265	0.249	167744	"SFA 16:0"	"G"	90560	"Mollusks, snail, raw†"
1266	0.051	167744	"SFA 18:0"	"G"	90560	"Mollusks, snail, raw†"
1268	0.211	167744	"MUFA 18:1"	"G"	90560	"Mollusks, snail, raw†"
1269	0.017	167744	"PUFA 18:2"	"G"	90560	"Mollusks, snail, raw†"
1270	0	167744	"PUFA 18:3"	"G"	90560	"Mollusks, snail, raw†"
1271	0	167744	"PUFA 20:4"	"G"	90560	"Mollusks, snail, raw†"
1276	0.015	167744	"PUFA 18:4"	"G"	90560	"Mollusks, snail, raw†"
1277	0	167744	"MUFA 20:1"	"G"	90560	"Mollusks, snail, raw†"
1279	0	167744	"MUFA 22:1"	"G"	90560	"Mollusks, snail, raw†"
1292	0.259	167744	"Fatty acids, total monounsaturated"	"G"	90560	"Mollusks, snail, raw†"
1293	0.252	167744	"Fatty acids, total polyunsaturated"	"G"	90560	"Mollusks, snail, raw†"
1190	6	167744	"Folate, DFE"	"UG"	90560	"Mollusks, snail, raw†"
1246	0	167744	"Vitamin B-12, added"	"UG"	90560	"Mollusks, snail, raw†"
1242	0	167744	"Vitamin E, added"	"MG"	90560	"Mollusks, snail, raw†"
